# FRAME,TIME,DISTANCE,TOTALTIME,TOTALDISTANCE,SEGMENTNUM,SECTOR,MARKERS,MARKERTIME,MARKERFLAG,POSITIONX,POSITIONY,POSITIONZ,ROTATIONX,ROTATIONY,ROTATIONZ,STEERINGANGLE,THROTTLE,BRAKEPRESSURE,GEAR,SPEED,RAWSTEER,RAWTHROTTLE,RAWBRAKE,AUTOMATICGEAR,AERODRSPOSITION
# n/a,s,m,s,m,n/a,n/a,n/a,n/a,n/a,m,m,m,°,°,°,°,%,bar,,km/h,,,,,%
169380.00000,0.42000,54.20340,338.76000,20963.26000,2.00000,0.00000,0.00000,0.00000,0.00000,524.70715,139.77670,2348.67518,-1.70245,126.36940,-0.00598,26.64000,56.50119,0.00000,1.00000,130.32360,0.00000,0.00000,0.00000,4.00000,0.00000
169390.00000,0.44000,56.80988,338.78000,20963.99000,2.00000,0.00000,0.00000,0.00000,0.00000,525.32164,139.80350,2348.21265,-1.68445,126.10330,0.03204,24.84000,56.50119,0.00000,1.00000,130.32360,0.00000,0.00000,0.00000,4.00000,0.00000
169400.00000,0.46000,59.47367,338.80000,20964.73000,2.00000,0.00000,0.00000,0.00000,0.00000,525.93987,139.83040,2347.74169,-1.68387,126.01660,0.07585,23.43000,56.50119,0.00000,1.00000,133.18990,0.00000,0.00000,0.00000,4.00000,0.00000
169410.00000,0.48000,62.13747,338.82000,20965.47000,2.00000,0.00000,0.00000,0.00000,0.00000,526.56125,139.85750,2347.26300,-1.70258,126.08390,0.16966,21.93000,56.50119,0.00000,1.00000,133.18990,0.00000,0.00000,0.00000,4.00000,0.00000
169420.00000,0.50000,64.80127,338.84000,20966.22000,2.00000,0.00000,0.00000,0.00000,0.00000,527.18603,139.88530,2346.77659,-1.74353,126.24490,0.24241,20.26500,56.50119,0.00000,1.00000,133.18990,0.00000,0.00000,0.00000,4.00000,0.00000
169430.00000,0.52000,67.46507,338.86000,20966.96000,2.00000,0.00000,0.00000,0.00000,0.00000,527.81374,139.91350,2346.28300,-1.79327,126.48630,0.33098,18.61500,56.50119,0.00000,1.00000,133.18990,0.00000,0.00000,0.00000,4.00000,0.00000
169440.00000,0.54000,70.12886,338.88000,20967.72000,2.00000,0.00000,0.00000,0.00000,0.00000,528.44326,139.94140,2345.78330,-1.82849,126.76970,0.44434,16.95000,56.50119,0.00000,1.00000,133.18990,0.00000,0.00000,0.00000,4.00000,0.00000
169450.00000,0.56000,72.84928,338.90000,20968.47000,2.00000,0.00000,0.00000,0.00000,0.00000,529.07453,139.96900,2345.27771,-1.84213,127.06040,0.56044,15.07500,56.50119,0.00000,1.00000,136.02080,0.00000,0.00000,0.00000,4.00000,0.00000
169460.00000,0.58000,75.56969,338.92000,20969.23000,2.00000,0.00000,0.00000,0.00000,0.00000,529.70687,139.99740,2344.76696,-1.85196,127.36490,0.59453,13.45500,56.50119,0.00000,1.00000,136.02080,0.00000,0.00000,0.00000,4.00000,0.00000
169470.00000,0.60000,78.29012,338.94000,20969.99000,2.00000,0.00000,0.00000,0.00000,0.00000,530.33987,140.02650,2344.25153,-1.85492,127.67710,0.62499,11.88000,56.50119,0.00000,1.00000,136.02080,0.00000,0.00000,0.00000,4.00000,0.00000
169480.00000,0.62000,81.01053,338.96000,20970.75000,2.00000,0.00000,0.00000,0.00000,0.00000,530.97327,140.05720,2343.73178,-1.88327,127.98780,0.60415,10.50000,56.50119,0.00000,1.00000,136.02080,0.00000,0.00000,0.00000,4.00000,0.00000
169490.00000,0.64000,83.73094,338.98000,20971.51000,2.00000,0.00000,0.00000,0.00000,0.00000,531.60585,140.08930,2343.20883,-1.94229,128.29090,0.64041,9.43500,56.50119,0.00000,1.00000,136.02080,0.00000,0.00000,0.00000,4.00000,0.00000
169500.00000,0.66000,86.50574,339.00000,20972.28000,2.00000,0.00000,0.00000,0.00000,0.00000,532.23734,140.12220,2342.68314,-2.00406,128.58070,0.69037,8.61000,56.50119,0.00000,1.00000,138.73950,0.00000,0.00000,0.00000,4.00000,0.00000
169510.00000,0.68000,89.28053,339.02000,20973.05000,2.00000,0.00000,0.00000,0.00000,0.00000,532.86774,140.15520,2342.15497,-2.05551,128.84950,0.72799,7.95000,56.50119,0.00000,1.00000,138.73950,0.00000,0.00000,0.00000,4.00000,0.00000
169520.00000,0.70000,92.05532,339.04000,20973.83000,2.00000,0.00000,0.00000,0.00000,0.00000,533.49568,140.18820,2341.62569,-2.08646,129.09690,0.68667,7.65000,56.50119,0.00000,1.00000,138.73950,0.00000,0.00000,0.00000,4.00000,0.00000
169530.00000,0.72000,94.83011,339.06000,20974.61000,2.00000,0.00000,0.00000,0.00000,0.00000,534.12115,140.22190,2341.09556,-2.11578,129.32860,0.69435,7.38000,56.50119,0.00000,1.00000,138.73950,0.00000,0.00000,0.00000,4.00000,0.00000
169540.00000,0.74000,97.60490,339.08000,20975.39000,2.00000,0.00000,0.00000,0.00000,0.00000,534.74419,140.25610,2340.56473,-2.14203,129.55300,0.71443,7.23000,56.50119,0.00000,1.00000,138.73950,0.00000,0.00000,0.00000,4.00000,0.00000
169550.00000,0.76000,100.43280,339.10000,20976.17000,2.00000,0.00000,0.00000,0.00000,0.00000,535.36360,140.29050,2340.03440,-2.15979,129.75790,0.77793,7.20000,56.50119,0.00000,1.00000,141.39480,0.00000,0.00000,0.00000,4.00000,0.00000
169560.00000,0.78000,103.26070,339.12000,20976.96000,2.00000,0.00000,0.00000,0.00000,0.00000,535.97973,140.32450,2339.50446,-2.16357,129.97090,0.81419,7.14000,56.50119,0.00000,1.00000,141.39480,0.00000,0.00000,0.00000,4.00000,0.00000
169570.00000,0.80000,106.08860,339.14000,20977.75000,2.00000,0.00000,0.00000,0.00000,0.00000,536.59173,140.35840,2338.97580,-2.15552,130.23630,0.81109,7.21500,56.50119,0.00000,1.00000,141.39480,0.00000,0.00000,0.00000,4.00000,0.00000
169580.00000,0.82000,108.91650,339.16000,20978.54000,2.00000,0.00000,0.00000,0.00000,0.00000,537.19980,140.39130,2338.44838,-2.11078,130.52870,0.83618,7.23000,56.50119,0.00000,1.00000,141.39480,0.00000,0.00000,0.00000,4.00000,0.00000
169590.00000,0.84000,111.74440,339.18000,20979.33000,2.00000,0.00000,0.00000,0.00000,0.00000,537.80372,140.42420,2337.92253,-2.07291,130.83590,0.89842,7.23000,56.50119,0.00000,1.00000,141.39480,0.00000,0.00000,0.00000,4.00000,0.00000
169600.00000,0.86000,114.62370,339.20000,20980.13000,2.00000,0.00000,0.00000,0.00000,0.00000,538.40312,140.45760,2337.39872,-2.05280,131.13490,0.98205,7.15500,56.50119,0.00000,1.00000,143.96620,0.00000,0.00000,0.00000,4.00000,0.00000
169610.00000,0.88000,117.50300,339.22000,20980.93000,2.00000,0.00000,0.00000,0.00000,0.00000,538.99869,140.49090,2336.87647,-2.03790,131.40210,1.03537,6.97500,56.50119,0.00000,1.00000,143.96620,0.00000,0.00000,0.00000,4.00000,0.00000
169620.00000,0.90000,120.38240,339.24000,20981.73000,2.00000,0.00000,0.00000,0.00000,0.00000,539.59013,140.52490,2336.35617,-2.05570,131.65140,1.12526,6.75000,56.50119,0.00000,1.00000,143.96620,0.00000,0.00000,0.00000,4.00000,0.00000
