FRAME,TIME,DISTANCE,TOTALTIME,TOTALDISTANCE,SEGMENTNUM,SECTOR,MARKERS,MARKERTIME,MARKERFLAG,POSITIONX,POSITIONY,POSITIONZ,ROTATIONX,ROTATIONY,ROTATIONZ,STEERINGANGLE,THROTTLE,BRAKEPRESSURE,GEAR,SPEED,RAWSTEER,RAWTHROTTLE,RAWBRAKE,AUTOMATICGEAR,AERODRSPOSITION
n/a,s,m,s,m,n/a,n/a,n/a,n/a,n/a,m,m,m,°,°,°,°,%,bar,,km/h,,,,,%
15270,0.5257,18.40457,30.54,290.8054,1,0,0,0,0,528.3353,139.9331,2345.836,-1.82013,126.7007,0.45895,17.46,56.50119,0,1,132.5081,0,0,0,4,0
15280,0.5457,19.14819,30.56,291.549,1,0,0,0,0,528.9246,139.9603,2345.382,-1.83588,126.995,0.57105,15.675,56.50119,0,1,132.5081,0,0,0,4,0
15290,0.5657,19.89502,30.58,292.2958,1,0,0,0,0,529.5147,139.988,2344.924,-1.84659,127.2918,0.6083,13.965,56.50119,0,1,132.5081,0,0,0,4,0
15300,0.5857,20.6449,30.6,293.0457,1,0,0,0,0,530.1049,140.0166,2344.461,-1.85388,127.5963,0.63474,12.405,56.50119,0,1,135.3402,0,0,0,4,0
15310,0.6057,21.39758,30.62,293.7984,1,0,0,0,0,530.6954,140.0465,2343.993,-1.87109,127.9016,0.61411,10.89,56.50119,0,1,135.3402,0,0,0,4,0
15320,0.6257,22.15369,30.64,294.5545,1,0,0,0,0,531.2864,140.078,2343.521,-1.9245,128.2047,0.62273,9.765,56.50119,0,1,135.3402,0,0,0,4,0
15330,0.6457,22.91269,30.66,295.3135,1,0,0,0,0,531.8776,140.1102,2343.045,-1.98645,128.4879,0.67328,8.91,56.50119,0,1,135.3402,0,0,0,4,0
15340,0.6657,23.675,30.68,296.0758,1,0,0,0,0,532.4696,140.1428,2342.564,-2.03857,128.7524,0.7211,8.205,56.50119,0,1,135.3402,0,0,0,4,0
15350,0.6857,24.43992,30.7,296.8407,1,0,0,0,0,533.0621,140.1752,2342.08,-2.07324,129.0013,0.70435,7.74,56.50119,0,1,138.0849,0,0,0,4,0
15360,0.7057,25.20772,30.72,297.6085,1,0,0,0,0,533.6553,140.2082,2341.592,-2.09982,129.2295,0.67393,7.5,56.50119,0,1,138.0849,0,0,0,4,0
15370,0.7257,25.97873,30.74,298.3795,1,0,0,0,0,534.2485,140.2418,2341.099,-2.12772,129.4566,0.69577,7.23,56.50119,0,1,138.0849,0,0,0,4,0
15380,0.7457,26.7525,30.76,299.1533,1,0,0,0,0,534.8416,140.2759,2340.602,-2.1528,129.6867,0.74282,7.23,56.50119,0,1,138.0849,0,0,0,4,0
