0.00000,513.56930,2357.60608,-0.02266,5.49803,-1.00000
0.00003,514.03758,2357.13184,-0.01387,5.48587,-1.00000
0.00006,514.50551,2356.64908,-0.00511,5.47949,-1.00000
0.00010,514.97540,2356.16096,0.00367,5.47901,-1.00000
0.00013,515.44674,2355.67377,0.01246,5.48448,-1.00000
0.00016,515.91919,2355.19357,0.02127,5.49583,-1.00000
0.00020,516.39736,2354.72128,0.03016,5.51311,-1.00000
0.00023,516.88451,2354.25924,0.03914,5.53637,-1.00000
0.00026,517.38594,2353.80815,0.04822,5.56583,-1.00000
0.00029,517.90417,2353.37011,0.04165,5.59633,-1.00000
0.00033,518.44301,2352.94033,0.03487,5.62270,-1.00000
0.00036,519.00212,2352.51612,0.02795,5.64475,-1.00000
0.00040,519.58096,2352.09473,0.02093,5.66224,-1.00000
0.00043,520.17271,2351.67742,0.01389,5.67485,-1.00000
0.00047,520.77043,2351.26485,0.00688,5.68239,-1.00000
0.00050,521.36967,2350.85565,-0.00008,5.68485,-1.00000
0.00054,521.96732,2350.44747,-0.00702,5.68228,-1.00000
0.00057,522.56250,2350.03728,-0.00695,5.67723,-1.00000
0.00061,523.15649,2349.62349,-0.00688,5.67223,-1.00000
0.00064,523.75010,2349.20555,-0.00680,5.66726,-1.00000
0.00068,524.34382,2348.78313,-0.00672,5.66233,-1.00000
0.00071,524.93760,2348.35626,-0.00664,5.65745,-1.00000
0.00075,525.53192,2347.92460,-0.00656,5.65260,-1.00000
0.00078,526.12694,2347.48802,-0.00648,5.64778,-1.00000
0.00082,526.72228,2347.04680,-0.00640,5.64301,-1.00000
0.00085,527.31847,2346.60053,-0.00643,5.63824,-1.00000
0.00089,527.91537,2346.14925,-0.00646,5.63341,-1.00000
0.00093,528.51223,2345.69344,-0.00649,5.62855,-1.00000
0.00096,529.10938,2345.23277,-0.00653,5.62364,-1.00000
0.00100,529.70655,2344.76737,-0.00656,5.61869,-1.00000
0.00104,530.30380,2344.29710,-0.00660,5.61369,-1.00000
0.00107,530.90132,2343.82175,-0.00663,5.60864,-1.00000
0.00111,531.49844,2343.34178,-0.00637,5.60365,-1.00000
